variante,pangolin
Omicron,XE
Recombinante,XG
Recombinante,XQ
Recombinante,XV
Alpha,B.1.1.7
Beta,B.1.351
Gamma,P.1
Epsilon,B.1.427
Epsilon,B.1.429
Eta,B.1.525
Iota,B.1.526
Kappa,B.1.617.1
Mu,B.1.621
Mu,B.1.621.1
Zeta,P.2
Delta,B.1.617.2
Delta,AY
Omicron,B.1.1.529
Omicron,BA
Desconocido,None
